Type;FSL-6;
Version;2.40;
Date;15.Oct 15;
Mode;ANALYZER;
Center Freq;515000000.000000;Hz
Freq Offset;0.000000;Hz
Span;1000000000.000000;Hz
x-Axis;LIN;
Start;15000000.000000;Hz
Stop;1015000000.000000;Hz
Ref Level;-20.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;0.000000;dB
RBW;300000.000000;Hz
VBW;1000000.000000;Hz
SWT;0.015000;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;Hz;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
Values;501;
299000000;-80.300796508789063;-112.70018768310547
301000000;-80.724105834960938;-115.04313659667969
303000000;-77.707038879394531;-123.81007385253906
305000000;-78.595420837402344;-103.85441589355469
307000000;-81.632087707519531;-112.74706268310547
309000000;-81.16400146484375;-120.82289123535156
311000000;-81.126007080078125;-109.24424743652344
313000000;-77.026718139648438;-106.98077392578125
315000000;-79.463447570800781;-108.66464996337891
317000000;-81.6024169921875;-108.97148132324219
319000000;-70.503883361816406;-99.330131530761719
321000000;-70.682777404785156;-102.8197021484375
323000000;-78.72479248046875;-112.97176361083984
325000000;-81.131385803222656;-106.12863922119141
327000000;-78.834083557128906;-106.94643402099609
329000000;-78.421134948730469;-103.46471405029297
331000000;-81.71954345703125;-105.15888214111328
333000000;-79.463417053222656;-107.64340972900391
335000000;-79.747459411621094;-100.89955139160156
337000000;-78.641204833984375;-109.14226531982422
339000000;-79.30902099609375;-113.75376129150391
341000000;-79.063697814941406;-111.59542083740234
343000000;-79.485954284667969;-94.131401062011719
345000000;-78.70318603515625;-103.12404632568359
347000000;-79.720970153808594;-117.15803527832031
349000000;-79.043342590332031;-98.677955627441406
351000000;-76.127037048339844;-104.11881256103516
353000000;-78.378196716308594;-109.69093322753906
355000000;-76.401878356933594;-105.18989562988281
357000000;-77.634033203125;-97.8251953125
359000000;-77.196525573730469;-108.99082946777344
361000000;-78.358108520507813;-120.77696990966797
363000000;-79.038856506347656;-129.77592468261719
365000000;-81.067237854003906;-104.76242828369141
367000000;-78.910797119140625;-102.68025207519531
369000000;-78.80340576171875;-119.67096710205078
371000000;-79.703239440917969;-123.4278564453125
373000000;-77.141700744628906;-115.68230438232422
375000000;-81.576431274414063;-112.32526397705078
377000000;-80.541191101074219;-104.81205749511719
379000000;-78.234039306640625;-117.21872711181641
381000000;-80.784431457519531;-104.99794769287109
383000000;-67.331436157226562;-116.52749633789062
385000000;-69.156173706054687;-108.78565216064453
387000000;-81.817955017089844;-112.22196960449219
389000000;-79.431404113769531;-102.71266937255859
391000000;-82.281021118164062;-111.14182281494141
393000000;-80.336318969726563;-114.82738494873047
395000000;-79.68780517578125;-114.59940338134766
397000000;-79.496589660644531;-114.6368408203125
399000000;-81.216178894042969;-111.21952056884766
401000000;-78.970962524414063;-111.71737670898437
403000000;-79.288436889648438;-114.93231201171875
405000000;-79.740447998046875;-105.13177490234375
407000000;-80.702690124511719;-103.06862640380859
409000000;-77.014717102050781;-108.60169982910156
411000000;-80.827384948730469;-114.33767700195312
413000000;-80.257453918457031;-133.52146911621094
415000000;-81.345428466796875;-113.119140625
417000000;-80.357154846191406;-115.23935699462891
419000000;-80.96209716796875;-108.03707122802734
421000000;-81.814064025878906;-113.03489685058594
